$ ./trec_eval -q qrels_covid.txt  graph.txt
iprec_at_recall_0.20    Q24     0.7034
iprec_at_recall_0.30    Q24     0.6327
iprec_at_recall_0.40    Q24     0.4970
iprec_at_recall_0.50    Q24     0.4593
iprec_at_recall_0.60    Q24     0.3832
iprec_at_recall_0.70    Q24     0.3173
iprec_at_recall_0.80    Q24     0.0000
iprec_at_recall_0.90    Q24     0.0000
iprec_at_recall_1.00    Q24     0.0000
P_5                     Q24     1.0000
P_10                    Q24     0.9000
P_15                    Q24     0.9333
P_20                    Q24     0.9000
P_30                    Q24     0.9000
P_100                   Q24     0.7200
P_200                   Q24     0.6250
P_500                   Q24     0.4240
P_1000                  Q24     0.2960
num_ret                 Q25     1000
num_rel                 Q25     529
num_rel_ret             Q25     148
map                     Q25     0.0663
Rprec                   Q25     0.1758
bpref                   Q25     0.2232
recip_rank              Q25     1.0000
iprec_at_recall_0.00    Q25     1.0000
iprec_at_recall_0.10    Q25     0.2442
iprec_at_recall_0.20    Q25     0.1771
iprec_at_recall_0.30    Q25     0.0000
iprec_at_recall_0.40    Q25     0.0000
iprec_at_recall_0.50    Q25     0.0000
iprec_at_recall_0.60    Q25     0.0000
iprec_at_recall_0.70    Q25     0.0000
iprec_at_recall_0.80    Q25     0.0000
iprec_at_recall_0.90    Q25     0.0000
iprec_at_recall_1.00    Q25     0.0000
P_5                     Q25     0.6000
P_10                    Q25     0.6000
P_15                    Q25     0.5333
P_20                    Q25     0.4000
P_30                    Q25     0.3000
P_100                   Q25     0.2800
P_200                   Q25     0.2500
P_500                   Q25     0.1800
P_1000                  Q25     0.1480
num_ret                 Q26     1000
num_rel                 Q26     778
num_rel_ret             Q26     207
map                     Q26     0.0991
Rprec                   Q26     0.2288
bpref                   Q26     0.2504
recip_rank              Q26     1.0000
iprec_at_recall_0.00    Q26     1.0000
iprec_at_recall_0.10    Q26     0.3508
iprec_at_recall_0.20    Q26     0.2620
iprec_at_recall_0.30    Q26     0.0000
iprec_at_recall_0.40    Q26     0.0000
iprec_at_recall_0.50    Q26     0.0000
iprec_at_recall_0.60    Q26     0.0000
iprec_at_recall_0.70    Q26     0.0000
iprec_at_recall_0.80    Q26     0.0000
iprec_at_recall_0.90    Q26     0.0000
iprec_at_recall_1.00    Q26     0.0000
P_5                     Q26     1.0000
P_10                    Q26     0.8000
P_15                    Q26     0.8000
P_20                    Q26     0.7500
P_30                    Q26     0.6667
P_100                   Q26     0.4400
P_200                   Q26     0.3450
P_500                   Q26     0.2700
P_1000                  Q26     0.2070
num_ret                 Q27     1000
num_rel                 Q27     849
num_rel_ret             Q27     384
map                     Q27     0.2820
Rprec                   Q27     0.4170
bpref                   Q27     0.4359
recip_rank              Q27     1.0000
iprec_at_recall_0.00    Q27     1.0000
iprec_at_recall_0.10    Q27     0.7153
iprec_at_recall_0.20    Q27     0.6547
iprec_at_recall_0.30    Q27     0.5476
iprec_at_recall_0.40    Q27     0.4373
iprec_at_recall_0.50    Q27     0.0000
iprec_at_recall_0.60    Q27     0.0000
iprec_at_recall_0.70    Q27     0.0000
iprec_at_recall_0.80    Q27     0.0000
